Frequency(Hz),R(ohm),X(ohm),V(V),SoC(%)
0.1,0.083634,-0.0157224,3.3281,95
0.2,0.0794036,-0.0111219,3.32822,95
0.3,0.0774585,-0.00920345,3.32827,95
0.5,0.0754239,-0.00736583,3.3283,95
0.8,0.0738933,-0.00612472,3.32835,95
1,0.0732466,-0.00565759,3.32839,95
2,0.0715066,-0.0046987,3.32843,95
3,0.0705951,-0.00441696,3.32846,95
5,0.0694743,-0.0043526,3.32849,95
8,0.0684096,-0.00455037,3.3285,95
10,0.0678362,-0.00469789,3.32849,95
11,0.0675947,-0.00479072,3.32851,95
21,0.0656497,-0.00555381,3.32852,95
31,0.0642203,-0.00603232,3.32852,95
61,0.0612335,-0.00683819,3.32852,95
81,0.0598219,-0.00707946,3.32852,95
100,0.0587313,-0.00716692,3.32852,95
110,0.0582336,-0.00722322,3.32853,95
210,0.0546782,-0.0070866,3.32851,95
310,0.0525014,-0.00656318,3.32851,95
510,0.0497872,-0.00541276,3.32853,95
810,0.0474464,-0.00363749,3.32853,95
1000,0.046436,-0.00256463,3.32852,95
0.01,0.171263,-0.0634327,3.26701,30
0.02,0.147114,-0.0488265,3.27132,30
0.03,0.136821,-0.0404458,3.27159,30
0.05,0.127193,-0.0315537,3.27199,30
0.08,0.120483,-0.0252946,3.27219,30
0.1,0.117785,-0.0228626,3.27232,30
0.2,0.110814,-0.0169509,3.27248,30
0.3,0.107528,-0.0143682,3.2725,30
0.5,0.104054,-0.0117898,3.27257,30
0.8,0.101384,-0.0100079,3.27261,30
1,0.10026,-0.0093285,3.27267,30
2,0.0971108,-0.00779585,3.27272,30
3,0.095437,-0.00721935,3.27277,30
5,0.0934021,-0.00669269,3.2728,30
8,0.0916325,-0.00636697,3.27281,30
10,0.0908199,-0.00628465,3.27284,30
11,0.0904642,-0.00625986,3.27285,30
21,0.0881603,-0.00622344,3.27287,30
31,0.086705,-0.00640903,3.27286,30
61,0.0839418,-0.0068282,3.27287,30
81,0.0826833,-0.00701113,3.27286,30
100,0.0817255,-0.00712409,3.27287,30
110,0.0812806,-0.00718917,3.27287,30
210,0.0781116,-0.00746503,3.27286,30
310,0.0761134,-0.00756318,3.27286,30
510,0.0734587,-0.00759351,3.27286,30
810,0.0707871,-0.00742313,3.27286,30
1000,0.0694523,-0.0072276,3.27286,30
0.01,0.131556,-0.0575499,3.32328,85
0.02,0.109943,-0.042146,3.32575,85
0.03,0.101813,-0.0338494,3.3258,85
0.05,0.0946102,-0.0254887,3.3261,85
0.08,0.0897601,-0.0198609,3.32623,85
0.1,0.0878318,-0.0177518,3.32636,85
0.2,0.0828714,-0.0127298,3.32647,85
0.3,0.080567,-0.0105856,3.3265,85
0.5,0.0781742,-0.00850418,3.32656,85
0.8,0.0763666,-0.0070821,3.3266,85
1,0.0756148,-0.00654096,3.32664,85
2,0.0735767,-0.00542397,3.32668,85
3,0.0725031,-0.00508712,3.3267,85
5,0.0711944,-0.00495855,3.32671,85
8,0.0699452,-0.00508145,3.32675,85
10,0.0693105,-0.00521357,3.32675,85
11,0.0690179,-0.00524119,3.32677,85
21,0.0669135,-0.00594298,3.32676,85
31,0.0654041,-0.00636858,3.32678,85
61,0.062289,-0.00708981,3.32678,85
81,0.0608454,-0.00732055,3.32678,85
100,0.0597264,-0.00741462,3.32679,85
110,0.0592254,-0.00744119,3.32679,85
210,0.0556662,-0.00720739,3.32678,85
310,0.053504,-0.00676085,3.32678,85
510,0.0508519,-0.00571411,3.32677,85
810,0.0485507,-0.0041805,3.32678,85
1000,0.0475683,-0.00324001,3.32677,85
0.01,0.138876,-0.0581083,3.28671,55
0.02,0.11648,-0.044136,3.28956,55
0.03,0.107559,-0.0362051,3.28955,55
0.05,0.0993429,-0.0279797,3.2898,55
0.08,0.0936052,-0.0222991,3.28994,55
0.1,0.0912893,-0.0201121,3.29003,55
0.2,0.0852425,-0.0147422,3.29013,55
0.3,0.0824335,-0.0123804,3.29015,55
0.5,0.0795073,-0.00998706,3.29021,55
0.8,0.0773262,-0.0083299,3.29025,55
1,0.0764299,-0.00771843,3.29029,55
2,0.0739953,-0.00636009,3.29033,55
3,0.0727097,-0.00589891,3.29038,55
5,0.0711701,-0.00565527,3.29039,55
8,0.0697346,-0.00564687,3.29041,55
10,0.0690315,-0.00575518,3.29043,55
11,0.0687349,-0.00580973,3.29044,55
21,0.0664396,-0.0064062,3.29044,55
31,0.0648178,-0.0067384,3.29046,55
61,0.0615411,-0.00743955,3.29043,55
81,0.060044,-0.00757146,3.29044,55
100,0.0588948,-0.00760224,3.29044,55
110,0.0583438,-0.00761114,3.29045,55
210,0.0546527,-0.0072372,3.29045,55
310,0.0524757,-0.00665256,3.29044,55
510,0.0498191,-0.00537227,3.29045,55
810,0.0475474,-0.00356234,3.29045,55
1000,0.0465668,-0.00247879,3.29045,55
0.01,0.128202,-0.0608142,3.30538,65
0.02,0.106566,-0.0449893,3.31035,65
0.03,0.0978463,-0.0362199,3.31134,65
0.05,0.0900909,-0.0270986,3.31213,65
0.08,0.0850064,-0.0208781,3.3126,65
0.1,0.0830472,-0.0185564,3.31289,65
0.2,0.0780456,-0.0130664,3.31316,65
0.3,0.0757566,-0.0107764,3.31327,65
0.5,0.0733892,-0.00858507,3.31337,65
0.8,0.0715925,-0.00710193,3.31345,65
1,0.0708463,-0.00654787,3.31352,65
2,0.0687816,-0.00531849,3.31355,65
3,0.0676987,-0.00488171,3.31361,65
5,0.06639,-0.00454932,3.31363,65
8,0.0651959,-0.00437259,3.31366,65
10,0.0646393,-0.00433747,3.31367,65
11,0.0644082,-0.00431596,3.31366,65
21,0.0627589,-0.00439684,3.31368,65
31,0.0617345,-0.00450733,3.3137,65
61,0.0596927,-0.00476402,3.3137,65
81,0.0587383,-0.00485399,3.31369,65
100,0.0580168,-0.00486609,3.3137,65
110,0.0576818,-0.00489047,3.31369,65
210,0.0553607,-0.00469679,3.31371,65
310,0.0539163,-0.00431383,3.31369,65
510,0.0520461,-0.00352507,3.3137,65
810,0.0503382,-0.00223005,3.31369,65
1000,0.0495785,-0.00139811,3.31371,65
0.01,0.137543,-0.0643051,3.29853,65
0.02,0.114949,-0.0471325,3.30308,65
0.03,0.106203,-0.0380115,3.30398,65
0.05,0.0982224,-0.0287678,3.30477,65
0.08,0.0927529,-0.0225107,3.30521,65
0.1,0.0905731,-0.0201565,3.30553,65
0.2,0.0848801,-0.014486,3.30575,65
0.3,0.082242,-0.0120573,3.30585,65
0.5,0.0795021,-0.00966834,3.30595,65
0.8,0.077455,-0.00805678,3.30602,65
1,0.0765936,-0.00743332,3.3061,65
2,0.0742711,-0.00612199,3.30615,65
3,0.0730418,-0.00571363,3.3062,65
5,0.0715463,-0.00548197,3.30621,65
8,0.0701457,-0.00549505,3.30623,65
10,0.0694684,-0.00558331,3.30625,65
11,0.0691669,-0.00560749,3.30626,65
21,0.0669366,-0.00617718,3.30626,65
31,0.0653915,-0.00653932,3.30627,65
61,0.0622217,-0.00720788,3.30629,65
81,0.0607601,-0.00734331,3.30627,65
100,0.0596648,-0.00741855,3.30628,65
110,0.059143,-0.00741468,3.30628,65
210,0.0556042,-0.00713843,3.30628,65
310,0.0534937,-0.00665433,3.30628,65
510,0.0508933,-0.0056115,3.30627,65
810,0.0486467,-0.00407726,3.30629,65
1000,0.0476815,-0.00313594,3.30627,65
0.01,0.145932,-0.0613917,3.28095,35
0.02,0.12247,-0.0469415,3.28461,35
0.03,0.112843,-0.038847,3.28472,35
0.05,0.103782,-0.0303734,3.28505,35
0.08,0.0973493,-0.0244592,3.28518,35
0.1,0.094733,-0.0221659,3.28529,35
0.2,0.0878913,-0.0164906,3.28541,35
0.3,0.0846767,-0.0139846,3.28542,35
0.5,0.0812937,-0.011466,3.28547,35
0.8,0.0787156,-0.00971528,3.28551,35
1,0.0776294,-0.00906525,3.28556,35
2,0.0746013,-0.00761088,3.2856,35
3,0.0729944,-0.00712666,3.28565,35
5,0.0710249,-0.00672832,3.28567,35
8,0.0692878,-0.00660265,3.28569,35
10,0.0684563,-0.00660823,3.2857,35
11,0.0680943,-0.00664351,3.28572,35
21,0.0655027,-0.00703441,3.28573,35
31,0.0637108,-0.00731054,3.28573,35
61,0.06024,-0.00772694,3.28575,35
81,0.0586611,-0.00776109,3.28574,35
100,0.0574817,-0.00772291,3.28574,35
110,0.056939,-0.00769597,3.28574,35
210,0.0533323,-0.00699872,3.28572,35
310,0.051298,-0.00625117,3.28574,35
510,0.048941,-0.00491373,3.28572,35
810,0.0469713,-0.00317886,3.28574,35
1000,0.0461492,-0.00217346,3.28575,35
0.01,0.126287,-0.0579409,3.32343,75
0.02,0.104343,-0.0428646,3.32606,75
0.03,0.095941,-0.03453,3.32611,75
0.05,0.0884905,-0.02603,3.3264,75
0.08,0.0835063,-0.0202996,3.32656,75
0.1,0.0815438,-0.0181379,3.32669,75
0.2,0.0764528,-0.0130016,3.32679,75
0.3,0.0740997,-0.0108006,3.32684,75
0.5,0.0716352,-0.00864233,3.32689,75
0.8,0.0698008,-0.00716387,3.32695,75
1,0.0690338,-0.00658471,3.32699,75
2,0.0669903,-0.00537646,3.32703,75
3,0.0659322,-0.00497846,3.32706,75
5,0.0646382,-0.00470424,3.32708,75
8,0.0634584,-0.00474799,3.3271,75
10,0.0628753,-0.00480308,3.3271,75
11,0.0626077,-0.00481551,3.32713,75
21,0.0607093,-0.00521803,3.32711,75
31,0.059405,-0.0055685,3.32713,75
61,0.0567001,-0.00603445,3.32715,75
81,0.0554724,-0.00617205,3.32713,75
100,0.0545355,-0.00622593,3.32714,75
110,0.0541084,-0.00626636,3.32712,75
210,0.0510901,-0.00593179,3.32712,75
310,0.049205,-0.00544359,3.32713,75
510,0.0469436,-0.00430279,3.32713,75
810,0.0449511,-0.00265226,3.32713,75
1000,0.0441036,-0.00161195,3.32713,75
0.01,0.160401,-0.0733074,3.21699,15
0.02,0.134327,-0.055182,3.22112,15
0.03,0.123293,-0.0456441,3.22126,15
0.05,0.112708,-0.0358922,3.22164,15
0.08,0.10505,-0.0290826,3.2218,15
0.1,0.101888,-0.0264176,3.22191,15
0.2,0.0936175,-0.0198614,3.22207,15
0.3,0.0896819,-0.0169331,3.22208,15
0.5,0.0855024,-0.0140053,3.22212,15
0.8,0.0822663,-0.0119288,3.22219,15
1,0.0808773,-0.0111184,3.22223,15
2,0.0770337,-0.00918602,3.22228,15
3,0.075027,-0.00837476,3.22233,15
5,0.0727435,-0.00757287,3.22237,15
8,0.0708483,-0.007069,3.22239,15
10,0.0700087,-0.00693916,3.22241,15
11,0.069663,-0.00693245,3.22242,15
21,0.0671384,-0.00701922,3.22243,15
31,0.0654469,-0.00726419,3.22244,15
61,0.0620853,-0.00762535,3.22245,15
81,0.060571,-0.00768367,3.22244,15
100,0.05941,-0.00769775,3.22243,15
110,0.0588916,-0.00767487,3.22244,15
210,0.0552971,-0.00717188,3.22243,15
310,0.053217,-0.00658928,3.22244,15
510,0.0507355,-0.00543289,3.22243,15
810,0.0485728,-0.00386537,3.22244,15
1000,0.0476553,-0.0029255,3.22245,15
0.01,0.153339,-0.0593487,3.27332,35
0.02,0.130562,-0.045757,3.27731,35
0.03,0.120937,-0.0377648,3.27754,35
0.05,0.112041,-0.0292005,3.27793,35
0.08,0.105978,-0.0231641,3.27812,35
0.1,0.103577,-0.0208348,3.27827,35
0.2,0.0974228,-0.0152231,3.27842,35
0.3,0.0945675,-0.0128194,3.27847,35
0.5,0.0915552,-0.0104693,3.27854,35
0.8,0.0892395,-0.00887353,3.2786,35
1,0.0882548,-0.00828885,3.27864,35
2,0.0854887,-0.00700897,3.27868,35
3,0.083979,-0.00657432,3.27873,35
5,0.0821223,-0.00618422,3.27875,35
8,0.0804773,-0.00604307,3.27877,35
10,0.0797015,-0.00600283,3.27879,35
11,0.0793719,-0.00602357,3.27881,35
21,0.0770762,-0.00614668,3.27879,35
31,0.0755771,-0.00640941,3.27881,35
61,0.0726507,-0.00677012,3.27882,35
81,0.0713173,-0.00686496,3.27881,35
100,0.0702997,-0.00688617,3.27881,35
110,0.0698422,-0.00690102,3.2788,35
210,0.0667165,-0.00669601,3.27881,35
310,0.064839,-0.00634209,3.27881,35
510,0.0624448,-0.00562054,3.27882,35
810,0.0602704,-0.00460438,3.27881,35
1000,0.0592813,-0.00392494,3.27881,35
0.01,0.135094,-0.0574159,3.28505,50
0.02,0.112722,-0.0440093,3.28793,50
0.03,0.103728,-0.0361841,3.28791,50
0.05,0.0954472,-0.0279889,3.28815,50
0.08,0.089686,-0.0223137,3.28827,50
0.1,0.0873664,-0.02014,3.28837,50
0.2,0.0813159,-0.0147947,3.28848,50
0.3,0.078488,-0.0124425,3.28849,50
0.5,0.0755294,-0.010076,3.28854,50
0.8,0.0733264,-0.00844222,3.28859,50
1,0.0723971,-0.00783253,3.28863,50
2,0.0698837,-0.006486,3.28867,50
3,0.0685465,-0.00601378,3.28869,50
5,0.0669286,-0.00567956,3.28873,50
8,0.0654857,-0.00559065,3.28874,50
10,0.0647764,-0.00564957,3.28876,50
11,0.064469,-0.00566944,3.28877,50
21,0.0622577,-0.00605246,3.28878,50
31,0.0607578,-0.00628072,3.28877,50
61,0.0577391,-0.006773,3.28878,50
81,0.0563364,-0.0068692,3.28879,50
100,0.0553146,-0.0068624,3.28877,50
110,0.054846,-0.00682661,3.28878,50
210,0.0515882,-0.00640834,3.28877,50
310,0.0496058,-0.00578372,3.2888,50
510,0.0472711,-0.00455172,3.28878,50
810,0.0452595,-0.00280661,3.28878,50
1000,0.0444302,-0.00175419,3.28878,50
0.01,0.156105,-0.0573069,3.32418,80
0.02,0.133314,-0.0437471,3.32687,80
0.03,0.12416,-0.0356694,3.32673,80
0.05,0.116016,-0.0270744,3.32692,80
0.08,0.110647,-0.0211023,3.32702,80
0.1,0.108565,-0.0188402,3.32712,80
0.2,0.103266,-0.0134653,3.32722,80
0.3,0.100827,-0.0111773,3.32726,80
0.5,0.098279,-0.00894253,3.32733,80
0.8,0.0963805,-0.0074098,3.32736,80
1,0.0955854,-0.0068258,3.32738,80
2,0.0934462,-0.00553677,3.32743,80
3,0.0923421,-0.00506574,3.32746,80
5,0.0910379,-0.00478616,3.32749,80
8,0.0898243,-0.00469274,3.32751,80
10,0.0892544,-0.00472168,3.32752,80
11,0.0890053,-0.00475539,3.32752,80
21,0.0871997,-0.00510431,3.32752,80
31,0.086,-0.00535311,3.32754,80
61,0.0835878,-0.00604328,3.32755,80
81,0.0824546,-0.00629853,3.32755,80
100,0.0815838,-0.00650412,3.32754,80
110,0.0811609,-0.00659025,3.32752,80
210,0.0782212,-0.00701827,3.32753,80
310,0.0763153,-0.00726859,3.32754,80
510,0.0737039,-0.00744045,3.32753,80
810,0.0710199,-0.00735829,3.32753,80
1000,0.0697141,-0.00722314,3.32754,80
0.01,0.122136,-0.0548723,3.3242,80
0.02,0.100717,-0.0409963,3.3266,80
0.03,0.0925569,-0.0330658,3.32656,80
0.05,0.0853814,-0.0249283,3.32677,80
0.08,0.0805956,-0.0194234,3.32691,80
0.1,0.0787181,-0.0173616,3.32702,80
0.2,0.0738435,-0.0124442,3.32714,80
0.3,0.071575,-0.010353,3.32716,80
0.5,0.069217,-0.00829121,3.3272,80
0.8,0.0674523,-0.00686337,3.32725,80
1,0.0667155,-0.00632954,3.3273,80
2,0.0647435,-0.00514091,3.32733,80
3,0.0637268,-0.00474058,3.32736,80
5,0.0625055,-0.00449506,3.32737,80
8,0.0613869,-0.00448757,3.32739,80
10,0.0607983,-0.00452821,3.32741,80
11,0.0605578,-0.00458804,3.32741,80
21,0.0587768,-0.00499969,3.32741,80
31,0.0575335,-0.00525716,3.32742,80
61,0.0549762,-0.00577356,3.32743,80
81,0.0538039,-0.0058838,3.32742,80
100,0.0529126,-0.00594561,3.32741,80
110,0.0524946,-0.00593663,3.32742,80
210,0.0495688,-0.00565982,3.32743,80
310,0.047809,-0.00516552,3.32743,80
510,0.0456466,-0.00407899,3.32742,80
810,0.0437671,-0.00243211,3.32742,80
1000,0.0429664,-0.00143485,3.32743,80
0.01,0.133518,-0.0588646,3.2954,65
0.02,0.112107,-0.0436765,3.299,65
0.03,0.1037,-0.0352293,3.29949,65
0.05,0.0961731,-0.0265295,3.3,65
0.08,0.0911361,-0.0206202,3.30031,65
0.1,0.0891621,-0.018392,3.30052,65
0.2,0.0840801,-0.0131298,3.30069,65
0.3,0.0817313,-0.0109122,3.30075,65
0.5,0.0792779,-0.00875746,3.30083,65
0.8,0.0774225,-0.0073182,3.3009,65
1,0.0766411,-0.00678541,3.30096,65
2,0.0744541,-0.00561051,3.301,65
3,0.0732951,-0.00521664,3.30103,65
5,0.0718673,-0.00491155,3.30105,65
8,0.0705879,-0.00479243,3.30107,65
10,0.0699908,-0.00481342,3.30108,65
11,0.0697136,-0.00479862,3.30111,65
21,0.0678683,-0.00494902,3.3011,65
31,0.0666827,-0.00512181,3.30111,65
61,0.0643461,-0.005453,3.30111,65
81,0.0632982,-0.00554314,3.30111,65
100,0.0624892,-0.00559729,3.3011,65
110,0.0620891,-0.00561684,3.3011,65
210,0.0594724,-0.00548896,3.30111,65
310,0.0578193,-0.00524903,3.30112,65
510,0.055708,-0.00452687,3.30111,65
810,0.0538081,-0.00336364,3.30112,65
1000,0.0529777,-0.0026259,3.30111,65
0.01,0.183274,-0.129345,2.98815,5
0.02,0.154531,-0.0838173,2.99496,5
0.03,0.142125,-0.0653816,2.99957,5
0.05,0.130338,-0.0482983,3.00178,5
0.08,0.122021,-0.0371839,3.003,5
0.1,0.118651,-0.0330516,3.00379,5
0.2,0.109925,-0.0236676,3.00447,5
0.3,0.105741,-0.0198559,3.00475,5
0.5,0.101198,-0.0162531,3.00499,5
0.8,0.097584,-0.013817,3.00516,5
1,0.0960224,-0.0129012,3.00528,5
2,0.0915988,-0.0107493,3.00537,5
3,0.0892387,-0.00982651,3.00546,5
5,0.0864987,-0.00892516,3.00552,5
8,0.0841782,-0.00828979,3.00557,5
10,0.0831515,-0.00808119,3.00559,5
11,0.0827212,-0.00802791,3.00561,5
21,0.0797384,-0.00786691,3.00564,5
31,0.0778449,-0.00781703,3.00564,5
61,0.0742864,-0.00779522,3.00567,5
81,0.0728252,-0.00767186,3.00565,5
100,0.0717248,-0.00754408,3.00566,5
110,0.0712425,-0.00748643,3.00567,5
210,0.0680199,-0.00691467,3.00566,5
310,0.0661587,-0.00644957,3.00567,5
510,0.0638859,-0.00565541,3.00569,5
810,0.0618121,-0.0046108,3.00568,5
1000,0.0608534,-0.00399732,3.00569,5
0.01,0.133106,-0.0548107,3.28302,35
0.02,0.111789,-0.0425223,3.28627,35
0.03,0.102781,-0.035123,3.28631,35
0.05,0.0945144,-0.0270926,3.28658,35
0.08,0.088929,-0.0214281,3.2867,35
0.1,0.0867258,-0.0192566,3.28682,35
0.2,0.0810915,-0.0140246,3.28695,35
0.3,0.0784682,-0.0117861,3.28697,35
0.5,0.0756984,-0.00960646,3.28704,35
0.8,0.0735777,-0.00811484,3.28708,35
1,0.0726653,-0.00753899,3.28712,35
2,0.0701341,-0.00626524,3.28715,35
3,0.0687804,-0.00576963,3.28718,35
5,0.0671698,-0.00533576,3.28721,35
8,0.0657478,-0.00500815,3.28725,35
10,0.0651077,-0.00492948,3.28725,35
11,0.0648424,-0.0049005,3.28725,35
21,0.0630489,-0.00480333,3.28726,35
31,0.061902,-0.00486229,3.28727,35
61,0.0597635,-0.00505265,3.28727,35
81,0.0587656,-0.00509796,3.28727,35
100,0.0579996,-0.00511417,3.28726,35
110,0.0576848,-0.00509038,3.28726,35
210,0.0552649,-0.00483973,3.28727,35
310,0.0537622,-0.00445101,3.28727,35
510,0.0518799,-0.00361257,3.28726,35
810,0.0501727,-0.00225746,3.28727,35
1000,0.0494193,-0.00140094,3.28727,35
0.01,0.139033,-0.0593732,3.28178,35
0.02,0.11613,-0.0454746,3.2852,35
0.03,0.106709,-0.0375018,3.28528,35
0.05,0.097984,-0.0291443,3.28555,35
